"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1476","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-11 23:12:13","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1477","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-11 23:08:47","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1478","RT @ehesketh: Samsung Galaxy deals are here! Save $300 now on a Note8, S8 or S8+ with qualified activation @BestBuy  ","2017-12-11 23:07:51","TRUE","49","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1479","The network you deserve this holiday season. Save $300 on a Samsung Galaxy Note8, S8 or S8+ with qualified activati  ","2017-12-11 23:01:26","FALSE","2","1","1","Samsung Galaxy","Seattle","USA",TRUE
"1480","RT @simplydarrling: Need some ideas for Christmas gifts? @BestBuy offers lots of @sprint phone plans that help you stretch your dollars fur","2017-12-11 22:56:21","TRUE","22","0","0","Samsung Galaxy","Seattle","USA",TRUE
"1481","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-11 22:36:55","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1482","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-11 22:36:17","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1483","RT @ehesketh: Samsung Galaxy deals are here! Save $300 now on a Note8, S8 or S8+ with qualified activation @BestBuy  ","2017-12-11 22:30:19","TRUE","49","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1484","RT @simplydarrling: Need some ideas for Christmas gifts? @BestBuy offers lots of @sprint phone plans that help you stretch your dollars fur","2017-12-11 22:30:14","TRUE","22","0","0","Samsung Galaxy","Seattle","USA",TRUE
"1485","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-11 22:27:41","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1486","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-11 22:21:30","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1487","RT @EmilysFrugalTps: You can afford to give your whole family the latest smartphone with @sprint at @BestBuy. (The gift of awesome gifts fo","2017-12-11 22:19:58","TRUE","1","0","2","Samsung Galaxy","Seattle","USA",FALSE
"1488","You can afford to give your whole family the latest smartphone with @sprint at @BestBuy. (The gift of awesome gifts  ","2017-12-11 22:14:08","FALSE","1","0","2","Samsung Galaxy","Seattle","USA",FALSE
"1489","RT @ehesketh: Samsung Galaxy deals are here! Save $300 now on a Note8, S8 or S8+ with qualified activation @BestBuy  ","2017-12-11 22:12:52","TRUE","49","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1490","Trump vows Americans will return to the moon. The question is how? -  ","2017-12-11 22:08:20","FALSE","0","0","1","Samsung Galaxy","Seattle","USA",FALSE
"1491","Samsung Galaxy deals are here! Save $300 now on a Note8, S8 or S8+ with qualified activation @BestBuy  ","2017-12-11 22:06:19","FALSE","0","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1492","RT @simplydarrling: Need some ideas for Christmas gifts? @BestBuy offers lots of @sprint phone plans that help you stretch your dollars fur","2017-12-11 22:02:10","TRUE","22","0","0","Samsung Galaxy","Seattle","USA",TRUE
"1493","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-11 22:01:55","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1494","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-11 22:01:48","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1495","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-11 22:00:52","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1496","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-11 21:58:03","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
